source_url,upper_item,image,image_path,link,item,product_list_code,name
https://proquinorte.myshopify.com/pages/manejo-de-liquidos,manejo-de-liquidos,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/Dispensadores.jpg,C:\images\070400.jpg,https://proquinorte.myshopify.com/collections/070400,,070400,Dispensadores de líquidos
https://proquinorte.myshopify.com/pages/manejo-de-liquidos,manejo-de-liquidos,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/Pipeteadores.jpg,C:\images\pipeteadores.jpg,https://proquinorte.myshopify.com/collections/pipeteadores,,pipeteadores,Pipeteadores
https://proquinorte.myshopify.com/pages/manejo-de-liquidos,manejo-de-liquidos,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/accesorios.jpg,C:\images\070600.jpg,https://www.proquinorte.com/collections/070600,,070600,Accesorios
https://www.proquinorte.com/pages/catalogo,,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/reactivo.jpg?v=1631702485,C:\images\reactivos-y-productos-quimicos.jpg,https://proquinorte.myshopify.com/pages/reactivos-y-productos-quimicos,reactivos-y-productos-quimicos,,Reactivos - Productos químicos
https://proquinorte.myshopify.com/pages/reactivos-y-productos-quimicos,reactivos-y-productos-quimicos,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Acidos.jpg?v=1630316288,C:\images\080100.jpg,https://proquinorte.myshopify.com/collections/080100,,080100,"
Ácidos y bases
"
https://proquinorte.myshopify.com/pages/reactivos-y-productos-quimicos,reactivos-y-productos-quimicos,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Sales.jpg?v=1630316288,C:\images\080200.jpg,https://proquinorte.myshopify.com/collections/080200,,080200,"
Sales y sustancias inórganicas
"
https://proquinorte.myshopify.com/pages/reactivos-y-productos-quimicos,reactivos-y-productos-quimicos,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/organicos.jpg?v=1630316288,C:\images\080300.jpg,https://proquinorte.myshopify.com/collections/080300,,080300,"
Compuestos orgánicos
"
https://proquinorte.myshopify.com/pages/reactivos-y-productos-quimicos,reactivos-y-productos-quimicos,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Disolventes.jpg?v=1630316289,C:\images\080400.jpg,https://proquinorte.myshopify.com/collections/080400,,080400,"
Disolventes
"
https://proquinorte.myshopify.com/pages/reactivos-y-productos-quimicos,reactivos-y-productos-quimicos,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/bioquimicos.jpg?v=1630316288,C:\images\080500.jpg,https://proquinorte.myshopify.com/collections/080500,,080500,"
Compuestos bioquímicos
"
https://www.proquinorte.com/pages/catalogo,,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Frasceria_240x240.jpg?v=1629183691,C:\images\material-general-de-plastico.jpg,https://proquinorte.myshopify.com/pages/material-general-de-plastico,material-general-de-plastico,,Plástico
https://proquinorte.myshopify.com/pages/material-general-de-plastico,material-general-de-plastico,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/jarra.jpg?v=1630324095,C:\images\jarras.jpg,https://proquinorte.myshopify.com/pages/jarras,jarras,,Jarras
https://proquinorte.myshopify.com/pages/jarras,jarras,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Forma_alta.jpg?v=1632227353,C:\images\090101.jpg,https://proquinorte.myshopify.com/collections/090101,,090101,"
Forma alta
"
https://proquinorte.myshopify.com/pages/jarras,jarras,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Forma_baja.jpg?v=1632227353,C:\images\090102.jpg,https://proquinorte.myshopify.com/collections/090102,,090102,"
Forma baja
"
https://proquinorte.myshopify.com/pages/jarras,jarras,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Otras_jarras.jpg?v=1632227353,C:\images\090103.jpg,https://proquinorte.myshopify.com/collections/090103,,090103,"
Otras jarras
"
https://proquinorte.myshopify.com/pages/material-general-de-plastico,material-general-de-plastico,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/matraces_4d575a59-b17d-4070-ae6f-2cec0433dfc9.jpg?v=1631707088,C:\images\matraces.jpg,https://proquinorte.myshopify.com/pages/matraces,matraces,,Matraces
https://proquinorte.myshopify.com/pages/matraces,matraces,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Erlenmeyer_eab1f7eb-7f35-45c3-a080-38de23dbf8b2.jpg?v=1632232900,C:\images\090201.jpg,https://proquinorte.myshopify.com/collections/090201,,090201,"
Erlenmeyer
"
https://proquinorte.myshopify.com/pages/matraces,matraces,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/fondo_plano.png?v=1632232900,C:\images\090202.jpg,https://proquinorte.myshopify.com/collections/090202,,090202,"
Fondo plano
"
https://proquinorte.myshopify.com/pages/matraces,matraces,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/fondo_redondo.png?v=1632232900,C:\images\090203.jpg,https://proquinorte.myshopify.com/collections/090203,,090203,"
Fondo redondo
"
https://proquinorte.myshopify.com/pages/matraces,matraces,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/Matraz_aforado.jpg?v=1632232901,C:\images\090204.jpg,https://proquinorte.myshopify.com/collections/090204,,090204,"
Aforados
"
https://proquinorte.myshopify.com/pages/material-general-de-plastico,material-general-de-plastico,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/vaso_489ae621-704a-4685-8d6e-9023d05b31d7.jpg?v=1631707088,C:\images\vasos-de-precipitados.jpg,https://proquinorte.myshopify.com/pages/vasos-de-precipitados,vasos-de-precipitados,,Vasos de precipitado
https://proquinorte.myshopify.com/pages/material-general-de-plastico,material-general-de-plastico,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/probeta.jpg?v=1630324095,C:\images\probetas.jpg,https://proquinorte.myshopify.com/pages/probetas,probetas,,Probetas
